table_index	block_index	rows	columns_max	preceding_context	header_preview	cell_count
125	484	7	2	E.29 公式DSL与AST合同 || E.30 主动效果逐类型字段矩阵 || 基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。	工程字段 | 唯一值 / 执行语义	14
126	487	45	2	基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。 || E.31 被动技能强类型运行时载荷（44项） || 运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。	passive_id | runtime_payload_json	90
127	488	6	2	基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。 || E.31 被动技能强类型运行时载荷（44项） || 运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。	工程字段 | 唯一值 / 执行语义	12
128	491	49	2	运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。 || E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。	equipment_id | runtime_payload_json	98
129	493	18	2	E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。 || E.33 怪物技能强类型运行时载荷	工程字段 | 唯一值 / 执行语义	36
130	494	15	2	E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。 || E.33 怪物技能强类型运行时载荷	monster_skill_id | runtime_payload_json	30
131	497	8	2	E.33 怪物技能强类型运行时载荷 || E.34 召唤物强类型运行时载荷 || 运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。	summon_archetype | runtime_payload_json	16
132	499	16	2	E.34 召唤物强类型运行时载荷 || 运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。 || E.35 H009快照语义、字段饱和与区域叠加	工程字段 | 唯一值 / 执行语义	32
133	501	64	4	运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。 || E.35 H009快照语义、字段饱和与区域叠加 || E.36 第二轮关联扩散审计修订裁决记录（108—170）	编号 | 级别 | 裁决 | 落点	256
134	503	10	4	E.35 H009快照语义、字段饱和与区域叠加 || E.36 第二轮关联扩散审计修订裁决记录（108—170） || E.37 第三轮收敛审计修订记录（171—179）	编号 | 级别 | 发现的漏洞 | 修复裁决与落点	40
