block_index	kind	item_index	style_or_shape	preceding_context	text_or_preview
229	table	47	45x2	13.1 匹配工程字段 || 13.2 BOT工程字段 || 13.3 断线重连状态机	工程字段 | 唯一值 / 执行语义
230	paragraph	183	Normal		
231	paragraph	184	Heading 1		14 局外成长、图鉴、战报与商业化
232	paragraph	185	List Bullet		局外成长只形成身份、收藏和历史，不给予局内攻击、生命、移速、掉率、折扣、复活或额外候选。38英雄全部免费。
233	paragraph	186	List Bullet		修为轨道50级；经验来自名次、击杀、PVE里程碑和玩法行为；奖励为头像、头像框、称号、名片和纯外观。
234	paragraph	187	List Bullet		图鉴：38英雄、101技能（38专属+19通用+44被动）、48装备；状态为未发现/见过/用过/精通，只进不退。定向掉落权重不展示。
235	paragraph	188	List Bullet		最近20局战报由服务端结算快照生成；最多8个故事节点，只引用真实事件；不展示隐藏MMR、BOT身份和反作弊信号。
236	paragraph	189	List Bullet		首发只直接销售纯外观；无英雄抽卡、装备/技能抽卡、数值战令、广告复活、复活币、第四条命、付费候选位、微属性、付费掉率或真钱黑山。
237	paragraph	190	List Bullet		皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。
238	paragraph	191	Heading 2		14.1 局外系统工程字段
239	table	48	304x2	首发只直接销售纯外观；无英雄抽卡、装备/技能抽卡、数值战令、广告复活、复活币、第四条命、付费候选位、微属性、付费掉率或真钱黑山。 || 皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。 || 14.1 局外系统工程字段	工程字段 | 唯一值 / 执行语义
240	paragraph	192	Normal		
241	paragraph	193	Heading 2		14.2 图鉴与点赞工程字段
242	table	49	38x2	皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。 || 14.1 局外系统工程字段 || 14.2 图鉴与点赞工程字段	工程字段 | 唯一值 / 执行语义
243	paragraph	194	Normal		
244	paragraph	195	Heading 2		14.3 商业化开关
245	table	50	20x2	14.1 局外系统工程字段 || 14.2 图鉴与点赞工程字段 || 14.3 商业化开关	工程字段 | 唯一值 / 执行语义
246	paragraph	196	Normal		
247	paragraph	197	Heading 1		15 网络、后端、事务、回放与反作弊
248	paragraph	198	List Bullet		服务端20Hz权威模拟；近战斗AI20Hz、远AI5Hz、远召唤10Hz更新意图，但命中和伤害仍在权威tick结算。
249	paragraph	199	List Bullet		客户端只提交移动、普攻、主动、取消、交互和UI事务意图；伤害、CD、随机、碰撞、视野、物品、金币、库存与胜负不由客户端决定。
250	paragraph	200	List Bullet		所有购买、出售、拾取、技能书替换、主动替换、宝石分配、太白换人、黑山、真死与掉落使用幂等事务ID和服务端原子提交。
251	paragraph	201	List Bullet		回放保存根种子、分离随机流消耗、输入、伤害、死亡、拾取、交易、商店、怪物、天劫事件和5秒快照；同规则版本重放哈希必须一致。
252	paragraph	202	List Bullet		单局合作、救人、让资源、共同打BOSS、背叛、拉怪害人和治疗陌生人均合法。预组队判定只能基于跨局重复模式及设备/IP/匹配证据，不可单局自动处罚。
253	paragraph	203	List Bullet		第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。
254	paragraph	204	Heading 2		15.1 网络合同
255	table	51	27x2	单局合作、救人、让资源、共同打BOSS、背叛、拉怪害人和治疗陌生人均合法。预组队判定只能基于跨局重复模式及设备/IP/匹配证据，不可单局自动处罚。 || 第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。 || 15.1 网络合同	工程字段 | 唯一值 / 执行语义
256	paragraph	205	Normal		
257	paragraph	206	Heading 2		15.2 后端与账号合同
258	table	52	236x2	第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。 || 15.1 网络合同 || 15.2 后端与账号合同	工程字段 | 唯一值 / 执行语义
259	paragraph	207	List Bullet		端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。
260	table	53	17x4	15.1 网络合同 || 15.2 后端与账号合同 || 端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。	写端点 | 通用错误（HTTP 语义 retryable） | 端点特有错误 | 幂等冲突结果
261	paragraph	208	Normal		
262	paragraph	209	Heading 2		15.3 对局事务合同
263	table	54	44x2	15.2 后端与账号合同 || 端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。 || 15.3 对局事务合同	工程字段 | 唯一值 / 执行语义
264	paragraph	210	Normal		
265	paragraph	211	Heading 2		15.4 确定性与随机合同
266	table	55	26x2	端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。 || 15.3 对局事务合同 || 15.4 确定性与随机合同	工程字段 | 唯一值 / 执行语义
267	paragraph	212	Normal		
268	paragraph	213	Heading 2		15.5 随机流合同
269	table	56	19x2	15.3 对局事务合同 || 15.4 确定性与随机合同 || 15.5 随机流合同	工程字段 | 唯一值 / 执行语义
270	paragraph	214	Normal		
271	paragraph	215	Heading 2		15.6 回放、举报与反作弊
272	table	57	36x2	15.4 确定性与随机合同 || 15.5 随机流合同 || 15.6 回放、举报与反作弊	工程字段 | 唯一值 / 执行语义
273	paragraph	216	Normal		
274	paragraph	217	Heading 1		16 美术、怪物形象、音频、本地化与资产规范
275	paragraph	218	List Bullet		怪物38套概念形象已按机械角色绑定：普通近战10、普通远程4、飞行4、首领4、五行肥猪5、五行龙王5、核心BOSS6。形象皮肤不得复制或改写机械碰撞与数值。
276	paragraph	219	List Bullet		红鳞大蟒、黄狮精、如意真仙、玉面狐狸均为普通/远程单位，不属于肥猪；五行肥猪仅限金肥猪、木肥猪、水肥猪、火肥猪、土肥猪。
277	paragraph	220	List Bullet		3D生产需为每个单位提供模型、骨架、动画、碰撞代理、受击体、攻击/技能帧、LOD与材质预算。皮肤和概念图只决定外观，不决定碰撞。
278	paragraph	221	List Bullet		重要预警必须视觉+音频双表达；迷雾外声音最多给模糊方向，不得泄露精确身份/坐标；伏石内普通移动脚步对圈外静音，攻击/施法/受击后恢复。
279	paragraph	222	List Bullet		源音频48kHz/24bit WAV；移动端最大32 voice，PC最大48；致命预警、硬控、核心BOSS前摇和天劫提示不可被声道淘汰。
280	paragraph	223	List Bullet		中文为首发权威文本；UI字符串使用稳定key；禁止运行时解析展示文案；任何本地化必须保持数值、单位、五行符号和预警等级一致。
281	paragraph	224	Heading 2		16.1 怪物视觉映射
282	table	58	39x6	源音频48kHz/24bit WAV；移动端最大32 voice，PC最大48；致命预警、硬控、核心BOSS前摇和天劫提示不可被声道淘汰。 || 中文为首发权威文本；UI字符串使用稳定key；禁止运行时解析展示文案；任何本地化必须保持数值、单位、五行符号和预警等级一致。 || 16.1 怪物视觉映射	资产ID | 游戏名 | 机械角色 | 战斗模板 | 五行 | 状态
283	paragraph	225	Normal		
284	paragraph	226	Heading 3		16.1.1 38套怪物概念形象
285	paragraph	227	Normal		以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。
286	paragraph	228	Normal		
287	paragraph	229	Normal		
288	paragraph	230	Normal		
289	paragraph	231	Normal		
290	paragraph	232	Normal		
291	paragraph	233	Normal		
292	paragraph	234	Normal		
293	paragraph	235	List Bullet		概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。
294	table	59	39x6	16.1.1 38套怪物概念形象 || 以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。 || 概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。	资产ID | 游戏名 | 概念源文件名 | 源文件SHA-256 | 版权状态 | 派生3D资产
295	paragraph	236	Heading 2		16.2 音频规则与台账
296	table	60	104x11	以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。 || 概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。 || 16.2 音频规则与台账	audio_id | category | owner_id | trigger | spatial | max_distance_m | max_instances | priority | duck_db | min_variants | status
297	paragraph	237	Normal		
298	paragraph	238	Heading 2		16.3 美术资产台账
299	table	61	244x13	概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。 || 16.2 音频规则与台账 || 16.3 美术资产台账	asset_id | category | owner_id | display_name | deliverable | lod0_tri | lod1_tri | lod2_tri | bones_max | materials_max | source_texture | priority | status
300	paragraph	239	Normal		
301	paragraph	240	Heading 1		17 AI开发、性能与发布验收
302	table	62	1x1	16.2 音频规则与台账 || 16.3 美术资产台账 || 17 AI开发、性能与发布验收	AI开发纪律｜AI只能把本文转换为数据、代码、资源和测试；不得补写数值、发明默认值、把玩家文案当运行时规则，或为了实现方便添加绕过真实碰撞体的区域限制、终局显形等额外规则。
303	paragraph	241	Normal		
304	table	63	10x2	16.2 音频规则与台账 || 16.3 美术资产台账 || 17 AI开发、性能与发布验收	维度 | 固定要求
305	paragraph	242	Normal		
306	paragraph	243	Heading 2		17.1 固定发布门槛
307	table	64	153x2	16.3 美术资产台账 || 17 AI开发、性能与发布验收 || 17.1 固定发布门槛	工程字段 | 唯一值 / 执行语义
308	paragraph	244	Normal		
309	table	65	1x1	16.3 美术资产台账 || 17 AI开发、性能与发布验收 || 17.1 固定发布门槛	门槛状态释义｜本文的玩法、数值、几何、交互和工程口径均已定案。BLOCKING_PRERELEASE_ENGINE、BLOCKING_PRERELEASE_EXTERNAL与MONITOR_ONLY只表示实现后的验证阶段，不代表规则尚未确定，也不授权开发过程临时改写本文；若验证失败，必须形成可复现证据并回到同一真源版本化修订。
310	paragraph	245	Normal		
311	paragraph	246	Normal		
312	paragraph	247	Heading 1		附录A 全英雄与等级数值
313	paragraph	248	Heading 2		A.1 38英雄映射
314	table	66	39x9	17.1 固定发布门槛 || 附录A 全英雄与等级数值 || A.1 38英雄映射	ID | 英雄 | 模板 | 移动类 | 五行 | 专属 | L1攻/血/速 | L15攻/血/速 | 射程/攻速
315	paragraph	249	Normal		
316	paragraph	250	Heading 2		A.2 八种属性模板L1–L15
317	table	67	121x8	附录A 全英雄与等级数值 || A.1 38英雄映射 || A.2 八种属性模板L1–L15	模板 | 等级 | 攻击 | 生命 | 移速 | 射程m | 攻速次每秒 | 该级DPS
318	paragraph	251	Normal		
319	paragraph	252	Heading 1		附录B 全技能、被动与装备数据
320	paragraph	253	Normal		本附录补充玩家展示文本。实际机制以第6–8章的完整工程表为准；展示文本不得反向驱动运行时。
321	paragraph	254	Heading 2		B.1 161条中文展示文本
322	table	68	162x6	附录B 全技能、被动与装备数据 || 本附录补充玩家展示文本。实际机制以第6–8章的完整工程表为准；展示文本不得反向驱动运行时。 || B.1 161条中文展示文本	key | category | owner | skill_name | platform | text
323	paragraph	255	Normal		
324	paragraph	256	Heading 1		附录C 全怪物与定向掉落
325	paragraph	257	Heading 2		C.1 技能书隐藏倾向权重
326	table	69	45x8	B.1 161条中文展示文本 || 附录C 全怪物与定向掉落 || C.1 技能书隐藏倾向权重	被动ID | CORE | ELITE_DPS | ELITE_TANK | FLY | MEL | PIG | RNG
327	paragraph	258	Normal		
328	paragraph	259	Heading 2		C.2 装备隐藏倾向权重
329	table	70	49x10	附录C 全怪物与定向掉落 || C.1 技能书隐藏倾向权重 || C.2 装备隐藏倾向权重	装备ID | CORE | DRAGON_EARTH | DRAGON_FIRE | DRAGON_METAL | DRAGON_WATER | DRAGON_WOOD | ELITE_DPS | ELITE_TANK | PIG
330	paragraph	260	Normal		
331	paragraph	261	Heading 1		附录D 地图坐标、路网、墙体与POI
332	table	71	1x1	C.1 技能书隐藏倾向权重 || C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI	地图导入｜以下坐标为米制设计坐标。运行时导入时转换为毫米整数；实体身份使用命名空间+ID，source_label只作美术/关卡查找，不作运行时主键。
333	paragraph	262	Normal		
334	paragraph	263	Heading 2		D.1 边界与节点
335	table	72	22x2	C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI || D.1 边界与节点	序号 | 边界点(x,y)m
336	paragraph	264	Normal		
337	table	73	193x5	C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI || D.1 边界与节点	节点 | X | Y | Z | 属性
338	paragraph	265	Normal		
339	paragraph	266	Heading 2		D.2 路网边
340	table	74	406x8	附录D 地图坐标、路网、墙体与POI || D.1 边界与节点 || D.2 路网边	边ID | A | B | 类型 | 宽m | 长m | Nav | 方向
341	paragraph	267	Normal		
342	paragraph	268	Heading 2		D.3 实体墙多边形
343	table	75	48x6	D.1 边界与节点 || D.2 路网边 || D.3 实体墙多边形	墙ID | 类别 | Z0 | 高m | 顶点数 | 碰撞
344	paragraph	269	Normal		
345	table	76	76x3	D.1 边界与节点 || D.2 路网边 || D.3 实体墙多边形	墙ID | 顶点序号 | 有序顶点(x,y)m
346	paragraph	270	Normal		
347	paragraph	271	Heading 2		D.4 高台与坡道
348	table	77	4x7	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	高台ID | 名称 | 顶高 | 眺望m | 顶面 | 侧壁 | 职责
349	paragraph	272	Normal		
350	table	78	4x2	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	高台ID | 有序顶面顶点(x,y)m
351	paragraph	273	Normal		
352	table	79	7x8	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	坡道ID | 高台 | 宽 | Z0 | Z1 | 中心线 | 插值 | 可走
353	paragraph	274	Normal		
354	paragraph	275	Heading 2		D.5 三庭完整设施
355	table	80	4x6	D.3 实体墙多边形 || D.4 高台与坡道 || D.5 三庭完整设施	庭ID | 名称 | 中心 | 有序边界 | 入口 | region_id
356	paragraph	276	Normal		
357	table	81	43x5	D.3 实体墙多边形 || D.4 高台与坡道 || D.5 三庭完整设施	庭ID | 设施类型 | 设施ID | 坐标m | 半径m
358	paragraph	277	Normal		
359	paragraph	278	Normal		
360	paragraph	279	Normal		惊蛰庭决赛圈与设施
361	paragraph	280	Normal		
362	paragraph	281	Normal		玄冥庭决赛圈与设施
363	paragraph	282	Normal		
364	paragraph	283	Normal		焚天庭决赛圈与设施
365	paragraph	284	Heading 2		D.6 出生宏区与80微位
366	table	82	41x3	玄冥庭决赛圈与设施 || 焚天庭决赛圈与设施 || D.6 出生宏区与80微位	宏区ID | 标签 | 微位ID
367	paragraph	285	Normal		
368	table	83	81x7	玄冥庭决赛圈与设施 || 焚天庭决赛圈与设施 || D.6 出生宏区与80微位	微位ID | 标签 | 坐标m | 朝向° | 宏区 | 出口节点 | region_id
369	paragraph	286	Normal		
370	paragraph	287	Heading 2		D.7 商店宏区与48微锚点
371	table	84	17x3	焚天庭决赛圈与设施 || D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点	宏区ID | 标签 | 微点ID
372	paragraph	288	Normal		
373	table	85	49x5	焚天庭决赛圈与设施 || D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点	微点ID | 标签 | 坐标m | 宏区 | region_id
374	paragraph	289	Normal		
375	paragraph	290	Heading 2		D.8 怪物槽、巢穴与迁移位
376	table	86	109x8	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	槽ID | 源标签 | 类型 | 圈层 | 巢穴 | 主坐标 | 3迁移位 | region_id
377	paragraph	291	Normal		
378	table	87	72x7	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	巢穴ID | 标签 | 类型 | 圈层 | 坐标 | 槽 | 起步区
379	paragraph	292	Normal		
380	table	88	6x2	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	联动A | 联动B
381	paragraph	293	Normal		
382	paragraph	294	Heading 2		D.9 猪窝、龙宫、首领场、伏石、关口与宝箱
383	table	89	13x8	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	猪窝ID | 入口 | 初始 | 袋底 | 宽 | 长 | 逃跑路径 | region_id
384	paragraph	295	Normal		
385	table	90	6x4	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	龙宫ID | 标签 | 坐标 | region_id
386	paragraph	296	Normal		
387	table	91	5x4	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	首领场ID | 标签 | 坐标 | region_id
388	paragraph	297	Normal		
389	table	92	25x5	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	伏石ID | 标签 | 坐标 | 半径 | region_id
390	paragraph	298	Normal		
391	table	93	5x3	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	关口ID | 坐标 | region_id
392	paragraph	299	Normal		
393	table	94	168x3	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	宝箱点ID | 坐标 | region_id
394	paragraph	300	Normal		
395	paragraph	301	Heading 1		附录E 运行时工程字段、枚举、事件与资产台账
396	paragraph	302	Normal		以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。
397	paragraph	303	Heading 2		E.1 单局与致死总合同
398	table	95	140x2	附录E 运行时工程字段、枚举、事件与资产台账 || 以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。 || E.1 单局与致死总合同	工程字段 | 唯一值 / 执行语义
399	paragraph	304	Normal		
400	paragraph	305	Heading 2		E.2 生命、等级与复活
401	table	96	151x2	以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。 || E.1 单局与致死总合同 || E.2 生命、等级与复活	工程字段 | 唯一值 / 执行语义
402	paragraph	306	Normal		
403	paragraph	307	Heading 2		E.3 战斗与伤害
404	table	97	183x2	E.1 单局与致死总合同 || E.2 生命、等级与复活 || E.3 战斗与伤害	工程字段 | 唯一值 / 执行语义
405	paragraph	308	Normal		
406	paragraph	309	Heading 2		E.4 战斗解析
407	table	98	16x2	E.2 生命、等级与复活 || E.3 战斗与伤害 || E.4 战斗解析	工程字段 | 唯一值 / 执行语义
408	paragraph	310	Normal		
409	paragraph	311	Heading 2		E.5 五行
410	table	99	16x2	E.3 战斗与伤害 || E.4 战斗解析 || E.5 五行	工程字段 | 唯一值 / 执行语义
411	paragraph	312	Normal		
412	paragraph	313	Heading 2		E.6 输入
413	table	100	59x2	E.4 战斗解析 || E.5 五行 || E.6 输入	工程字段 | 唯一值 / 执行语义
414	paragraph	314	Normal		
415	paragraph	315	Heading 2		E.7 视野与信息态
416	table	101	71x2	E.5 五行 || E.6 输入 || E.7 视野与信息态	工程字段 | 唯一值 / 执行语义
417	paragraph	316	Normal		
418	paragraph	317	Heading 2		E.8 移动、飞行、高台与动态实体
419	table	102	70x2	E.6 输入 || E.7 视野与信息态 || E.8 移动、飞行、高台与动态实体	工程字段 | 唯一值 / 执行语义
420	paragraph	318	Normal		
421	paragraph	319	Heading 2		E.9 动态实体放置
422	table	103	17x2	E.7 视野与信息态 || E.8 移动、飞行、高台与动态实体 || E.9 动态实体放置	工程字段 | 唯一值 / 执行语义
423	paragraph	320	Normal		
424	paragraph	321	Heading 2		E.10 召唤物
425	table	104	56x2	E.8 移动、飞行、高台与动态实体 || E.9 动态实体放置 || E.10 召唤物	工程字段 | 唯一值 / 执行语义
426	paragraph	322	Normal		
427	paragraph	323	Heading 2		E.11 天劫
428	table	105	46x2	E.9 动态实体放置 || E.10 召唤物 || E.11 天劫	工程字段 | 唯一值 / 执行语义
429	paragraph	324	Normal		
430	paragraph	325	Heading 2		E.12 怪物AI
431	table	106	61x2	E.10 召唤物 || E.11 天劫 || E.12 怪物AI	工程字段 | 唯一值 / 执行语义
432	paragraph	326	Normal		
433	paragraph	327	Heading 2		E.13 怪物战斗
434	table	107	142x2	E.11 天劫 || E.12 怪物AI || E.13 怪物战斗	工程字段 | 唯一值 / 执行语义
435	paragraph	328	Normal		
436	paragraph	329	Heading 2		E.14 经济掉落
437	table	108	87x2	E.12 怪物AI || E.13 怪物战斗 || E.14 经济掉落	工程字段 | 唯一值 / 执行语义
438	paragraph	330	Normal		
439	paragraph	331	Heading 2		E.15 经济效果
440	table	109	40x2	E.13 怪物战斗 || E.14 经济掉落 || E.15 经济效果	工程字段 | 唯一值 / 执行语义
441	paragraph	332	Normal		
442	paragraph	333	Heading 2		E.16 地面物
443	table	110	53x2	E.14 经济掉落 || E.15 经济效果 || E.16 地面物	工程字段 | 唯一值 / 执行语义
444	paragraph	334	Normal		
445	paragraph	335	Heading 2		E.17 商店
446	table	111	240x2	E.15 经济效果 || E.16 地面物 || E.17 商店	工程字段 | 唯一值 / 执行语义
447	paragraph	336	Normal		
448	paragraph	337	Heading 2		E.18 黑山
449	table	112	79x2	E.16 地面物 || E.17 商店 || E.18 黑山	工程字段 | 唯一值 / 执行语义
450	paragraph	338	Normal		
451	paragraph	339	Heading 2		E.19 空投
452	table	113	41x2	E.17 商店 || E.18 黑山 || E.19 空投	工程字段 | 唯一值 / 执行语义
453	paragraph	340	Normal		
454	paragraph	341	Heading 2		E.20 UI流程
455	table	114	30x2	E.18 黑山 || E.19 空投 || E.20 UI流程	工程字段 | 唯一值 / 执行语义
456	paragraph	342	Normal		
457	paragraph	343	Heading 2		E.21 状态机
458	table	115	96x2	E.19 空投 || E.20 UI流程 || E.21 状态机	工程字段 | 唯一值 / 执行语义
459	paragraph	344	Normal		
460	paragraph	345	Heading 2		E.22 同tick事件顺序
461	table	116	9x2	E.20 UI流程 || E.21 状态机 || E.22 同tick事件顺序	工程字段 | 唯一值 / 执行语义
462	paragraph	346	Normal		
463	paragraph	347	Heading 2		E.23 闭合枚举
464	table	117	46x2	E.21 状态机 || E.22 同tick事件顺序 || E.23 闭合枚举	工程字段 | 唯一值 / 执行语义
465	paragraph	348	Normal		
466	paragraph	349	Heading 2		E.24 设置
467	table	118	99x2	E.22 同tick事件顺序 || E.23 闭合枚举 || E.24 设置	工程字段 | 唯一值 / 执行语义
468	paragraph	350	Normal		
469	paragraph	351	Heading 2		E.25 埋点
470	table	119	239x2	E.23 闭合枚举 || E.24 设置 || E.25 埋点	工程字段 | 唯一值 / 执行语义
471	paragraph	352	Normal		
472	paragraph	353	Heading 2		E.26 主动技能强类型运行时载荷
473	paragraph	354	Normal		本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。
474	table	120	58x2	E.25 埋点 || E.26 主动技能强类型运行时载荷 || 本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。	active_id | runtime_payload_json
475	paragraph	355	Heading 2		E.27 H009被动效果倍率精确白名单
476	table	121	45x3	E.26 主动技能强类型运行时载荷 || 本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。 || E.27 H009被动效果倍率精确白名单	被动ID | H009允许翻倍字段 | 变换类型
477	paragraph	356	Heading 2		E.28 数值类型、单位与容器系统
478	table	122	13x2	本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。 || E.27 H009被动效果倍率精确白名单 || E.28 数值类型、单位与容器系统	工程字段 | 唯一值 / 执行语义
479	paragraph	357	Heading 2		E.29 公式DSL与AST合同
480	table	123	10x2	E.27 H009被动效果倍率精确白名单 || E.28 数值类型、单位与容器系统 || E.29 公式DSL与AST合同	工程字段 | 唯一值 / 执行语义
481	paragraph	358	Heading 2		E.30 主动效果逐类型字段矩阵
482	paragraph	359	List Bullet		基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。
483	table	124	56x2	E.29 公式DSL与AST合同 || E.30 主动效果逐类型字段矩阵 || 基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。	effect_type | 闭合字段集（除schema_version/payload_sha256外）
484	table	125	7x2	E.29 公式DSL与AST合同 || E.30 主动效果逐类型字段矩阵 || 基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。	工程字段 | 唯一值 / 执行语义
485	paragraph	360	Heading 2		E.31 被动技能强类型运行时载荷（44项）
486	paragraph	361	List Bullet		运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。
487	table	126	45x2	基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。 || E.31 被动技能强类型运行时载荷（44项） || 运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。	passive_id | runtime_payload_json
488	table	127	6x2	基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。 || E.31 被动技能强类型运行时载荷（44项） || 运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。	工程字段 | 唯一值 / 执行语义
489	paragraph	362	Heading 2		E.32 装备强类型运行时载荷（48项）
490	paragraph	363	List Bullet		运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。
491	table	128	49x2	运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。 || E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。	equipment_id | runtime_payload_json
492	paragraph	364	Heading 2		E.33 怪物技能强类型运行时载荷
493	table	129	18x2	E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。 || E.33 怪物技能强类型运行时载荷	工程字段 | 唯一值 / 执行语义
